id;name;price;city;promo_price;link
3597021;Конструктор LEGO Star Wars Дуэль на Мандалоре 75310;2149;Saint Petersburg;1499;https://www.detmir.ru/product/index/id/3597021/
3596763;Конструктор LEGO Classic Вокруг света 11015;5389;Saint Petersburg;4499;https://www.detmir.ru/product/index/id/3596763/
3599721;Конструктор LEGO VIDIYO Candy Castle Stage (Сцена карамельного замка) 43111;2989;Saint Petersburg;1489;https://www.detmir.ru/product/index/id/3599721/
3777767;Конструктор LEGO Harry Potter Новогодний календарь 76390;3109;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3777767/
3405655;Конструктор LEGO Technic Ferrari 488 GTE 42125;20269;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405655/
3234225;Конструктор LEGO Trolls Путешествие Розочки на воздушном шаре 41252;3589;Saint Petersburg;2342;https://www.detmir.ru/product/index/id/3234225/
3777569;Конструктор LEGO Friends Новогодний календарь 41690;2389;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3777569/
3405555;Конструктор LEGO Friends Ветеринарная клиника Хартлейк-Сити 41446;4309;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405555/
3597051;Конструктор LEGO Jurassic World Побег стигимолоха 76939;4429;Saint Petersburg;3899;https://www.detmir.ru/product/index/id/3597051/
3099183;Конструктор LEGO City Trains Рельсы 60205;1789;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3099183/
3596882;Конструктор LEGO Disney Princess Ледяной замок 43197;23629;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3596882/
3226570;Конструктор LEGO Classic Кубики и домики 11008;1909;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3226570/
3597053;Конструктор LEGO Jurassic World Погоня за карнотавром 76941;5509;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3597053/
3244612;Конструктор LEGO Technic Самосвал Volvo 6*6 42114;27589;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3244612/
3597029;Конструктор LEGO Super Heroes «Мстители: Финал» — решающая битва 76192;10189;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3597029/
3405542;Конструктор LEGO Creator Пляжный домик серферов 31118;5389;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405542/
3594628;Конструктор LEGO Super Heroes Битва в древней деревне 76177;4429;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3594628/
3244544;Конструктор LEGO Minions Тренировочный полёт 75547;3589;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3244544/
3405549;Конструктор LEGO Friends Кинотеатр Хартлейк-Сити 41448;5389;Saint Petersburg;4299;https://www.detmir.ru/product/index/id/3405549/
3596878;Конструктор LEGO Disney Princess Книга сказочных приключений Ариэль Белль Золушки и Тианы 43193;2389;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3596878/
3405636;Конструктор LEGO Minecraft Коралловый риф 21164;1189;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405636/
3596926;Конструктор LEGO Super Mario Падающая башня босса братца-сумо 71388;3229;Saint Petersburg;2599;https://www.detmir.ru/product/index/id/3596926/
3188096;Конструктор LEGO DUPLO Princess Ледяной замок 10899;5389;Saint Petersburg;4849;https://www.detmir.ru/product/index/id/3188096/
3475286;Конструктор LEGO Friends Набор кубиков Хартлейк Сити 41431;4309;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3475286/
3596783;Конструктор LEGO Friends Лесной клуб верховой езды 41683;7789;Saint Petersburg;6199;https://www.detmir.ru/product/index/id/3596783/
3597050;Конструктор LEGO Speed Champions Mopar Dodge//SRT Top Fuel Dragster and 1970 Dodge Challenger T/A 76904;6589;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3597050/
3405529;Конструктор LEGO DUPLO Town Уход за животными на ферме 10949;889;Saint Petersburg;749;https://www.detmir.ru/product/index/id/3405529/
3405596;Конструктор LEGO Super Heroes Воздушное нападение Вечных 76145;1189;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405596/
3596715;Конструктор LEGO Mickey and Friends Пожарная часть и машина Микки и его друзей 10776;5389;Saint Petersburg;3769;https://www.detmir.ru/product/index/id/3596715/
3200890;Конструктор LEGO Star Wars Йода 75255;11389;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3200890/
3599722;Конструктор LEGO VIDIYO Robo HipHop Car (Машина Хип-Хоп Робота) 43112;2989;Saint Petersburg;1489;https://www.detmir.ru/product/index/id/3599722/
3596887;Конструктор LEGO City Stunt 60297;709;Saint Petersburg;629;https://www.detmir.ru/product/index/id/3596887/
3244543;Конструктор LEGO Minions Миньоны в лаборатории Грю 75546;2149;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3244543/
3405626;Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1 71737;5389;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405626/
3405543;Конструктор LEGO Disney Princess Праздничный корабль Ариэль 43191;3109;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405543/
3596822;Конструктор LEGO Dots Подставка для карандашей 41936;2029;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3596822/
3599719;Конструктор LEGO VIDIYO Metal Dragon BeatBox (Битбокс Дракона-Металлиста) 43109;1789;Saint Petersburg;889;https://www.detmir.ru/product/index/id/3599719/
3405534;Конструктор LEGO Jurassic World Побег динозавров: тираннозавр и трицератопс 10939;3109;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405534/
3498483;Конструктор LEGO Star Wars Микрофайтеры AT-AT против таунтауна 75298;2149;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3498483/
3244527;Конструктор LEGO Dots Браслет Мороженое 41910;649;Saint Petersburg;389;https://www.detmir.ru/product/index/id/3244527/
618971;Строительная пластина LEGO Classic Серая (10701);1549;Saint Petersburg;1299;https://www.detmir.ru/product/index/id/618971/
3596778;Конструктор LEGO Friends Кьюб Андреа для плавания 41671;889;Saint Petersburg;619;https://www.detmir.ru/product/index/id/3596778/
3594627;Конструктор LEGO Super Heroes Побег от Десяти колец 76176;3349;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3594627/
3226558;Конструктор LEGO DUPLO Грузовик Алфавит 10915;2989;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3226558/
3405533;Конструктор LEGO DUPLO Disney Праздничный поезд Микки и Минни 10941;3109;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3405533/
3150682;Конструктор LEGO Technic Porsche 911 RSR 42096;16789;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3150682/
3244576;Конструктор LEGO Super Mario Огневой налёт Билла-банзай 71366;3229;Saint Petersburg;2099;https://www.detmir.ru/product/index/id/3244576/
3176040;Конструктор LEGO DUPLO Town Животные мира 10907;10789;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3176040/
3405580;Конструктор LEGO City Town Дорожные пластины 60304;1789;Saint Petersburg;1599;https://www.detmir.ru/product/index/id/3405580/
3200883;Конструктор LEGO Disney Frozen Олаф 41169;1299;Saint Petersburg;649;https://www.detmir.ru/product/index/id/3200883/
3596774;Конструктор LEGO Friends Кьюб Оливии для игр 41667;889;Saint Petersburg;799;https://www.detmir.ru/product/index/id/3596774/
3405598;Конструктор LEGO Super Heroes Вечные перед лицом Аришема 76155;7789;Saint Petersburg;6899;https://www.detmir.ru/product/index/id/3405598/
3498482;Конструктор LEGO Star Wars Истребитель Сопротивления типа X 75297;2149;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3498482/
3405616;Конструктор LEGO Super Mario набор усилений Марио-пингвин 71384;1069;Saint Petersburg;739;https://www.detmir.ru/product/index/id/3405616/
3596777;Конструктор LEGO Friends Кьюб для балета Стефани 41670;889;Saint Petersburg;619;https://www.detmir.ru/product/index/id/3596777/
3594626;Конструктор LEGO Minifigures Минифигурки Looney Tunes в непрозрачной упаковке (Сюрприз)71030;329;Saint Petersburg;NULL;https://www.detmir.ru/product/index/id/3594626/
